system   D            wsystem.c:583  maybe_parent_dir                 [   0.00048] Also searching C:\Users\Michael\Documents\Visual Studio 2010\Projects\UntitledGame\
display  D   display_settings.c:486  _al_score_display_settings       [   0.02828] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02830] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02832] Score is : 609
display  D   display_settings.c:357  _al_score_display_settings       [   0.02835] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02837] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02839] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02842] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02844] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02846] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02849] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02851] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02853] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02856] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02858] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02861] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02863] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02865] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02868] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02870] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02872] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02875] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02877] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02879] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02882] Single Buffer requirement not met.
display  D   display_settings.c:197  _al_score_display_settings       [   0.02884] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.02886] Display not compatible with Allegro.
d3d      D         d3d_disp.cpp:1836 d3d_create_display_internals     [   0.02892] Trying format 0 of 140.
d3d      I         d3d_disp.cpp:1514 d3d_display_thread_proc          [   0.02931] Chose a display format: 23
d3d      I         d3d_disp.cpp:1583 d3d_display_thread_proc          [   0.02937] Normal window.
d3d      I         d3d_disp.cpp:978  d3d_create_device                [   0.06649] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:1058 d3d_create_device                [   0.11471] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:1066 d3d_create_device                [   0.11477] Success
d3d      D         d3d_disp.cpp:1859 d3d_create_display_internals     [   0.11497] Resumed after wait.
d3d      I         d3d_disp.cpp:1884 d3d_create_display_internals     [   0.11505] Format 0 succeeded.
